run_id,schema_version,dataset,model,objective,prior_type,base_seed,n_total,n_selected,n_prior,n_posterior,n_bound,perc_train,perc_prior,stratified,split_hash,delta_train,delta_mc,delta_pac,joint_confidence,mc_samples,kl,kl_over_nbound,mc_err_01,mc_ce,emp_risk_01,emp_risk_ce,cert_risk_01,cert_risk_ce,test_stoch_01,test_postmean_01,test_ens_01,prior_net_test_01,label_noise,train_epochs,prior_epochs,lr,lr_prior,sigma_prior,kl_penalty,duration_sec,exit_code,prior_net_s0_01,test_stoch_01_asrun,test_ens_01_asrun,seed_eval_applied,cert_risk_01_nounion,cert_risk_ce_nounion,n_prior_candidates
cifar10_fquad_learnt_cnn_seed2,2.0,cifar10,cnn,fquad,learnt,2,50000,50000,25000,50000,25000,1.0,0.5,False,27dabb5a38a548353b80d55355639d19,0.025,0.005,0.005,0.99,2000,842.2195434570312,0.03368878173828125,0.2656908,0.0748888840595182,0.3007698221914933,0.09696137552324598,0.42815022975620826,0.19237290856557915,0.2826,0.246,0.2306,0.264,0.0,100,70,0.005,0.005,0.03,0.1,4036.7,0,0.00072,0.2861,0.22970000000000002,True,0.427618183336142,0.19192237522515548,999
cifar10_fquad_learnt_cnn_seed3,2.0,cifar10,cnn,fquad,learnt,3,50000,50000,25000,50000,25000,1.0,0.5,False,c98e02308d68add367a80cf93452ef72,0.025,0.005,0.005,0.99,2000,807.85400390625,0.03231416015625,0.27446888,0.07742446134724051,0.3098637275129631,0.09979910524122809,0.4351405253422293,0.19377738134153705,0.2907,0.2596,0.243,0.27949999999999997,0.0,100,70,0.005,0.005,0.03,0.1,4032.8,0,0.00088,0.2895,0.24309999999999998,True,0.43459738329517944,0.19331740338945522,999
cifar10_fquad_learnt_cnn_seed4,2.0,cifar10,cnn,fquad,learnt,4,50000,50000,25000,50000,25000,1.0,0.5,False,2ffa16f18ba2a3e9fac095ebfb7ad981,0.025,0.005,0.005,0.99,2000,889.0250854492188,0.03556100341796875,0.25244204,0.07150610808865987,0.2870115411012305,0.09316488750351687,0.4169769197862198,0.19042552113629915,0.2671,0.2425,0.2258,0.26180000000000003,0.0,100,70,0.005,0.005,0.03,0.1,4041.3,0,0.00056,0.26759999999999995,0.2258,True,0.41645920200559433,0.1899870142388555,999
cifar10_fquad_rand_cnn_seed0,2.0,cifar10,cnn,fquad,rand,0,50000,50000,0,50000,50000,1.0,0.5,True,f0beba2f3133ca15ab6c0d9d4439a237,0.025,0.005,0.005,0.99,2000,15.161417007446289,0.0003032283401489258,0.89760264,0.20077802182652663,0.9194765675508486,0.2329429017400439,0.9290585984706222,0.24864344417688827,0.8957,0.9,0.8942,0.9,0.0,100,0,0.005,0.005,0.03,0.1,4980.4,0,,0.8968,0.8889,True,0.9280491761087755,0.2469076008836521,999
cifar10_fquad_rand_cnn_seed1,2.0,cifar10,cnn,fquad,rand,1,50000,50000,0,50000,50000,1.0,0.5,True,f0beba2f3133ca15ab6c0d9d4439a237,0.025,0.005,0.005,0.99,2000,14.3270902633667,0.000286541805267334,0.89903627,0.20079591868479588,0.9207588284211953,0.23296175870048103,0.9301524630106673,0.2484629450709876,0.9006,0.9,0.8966,0.9,0.0,100,0,0.005,0.005,0.03,0.1,5021.5,0,,0.899,0.8988,True,0.9291357762818904,0.2467029129741197,999
cifar10_fquad_rand_cnn_seed2,2.0,cifar10,cnn,fquad,rand,2,50000,50000,0,50000,50000,1.0,0.5,True,f0beba2f3133ca15ab6c0d9d4439a237,0.025,0.005,0.005,0.99,2000,14.147472381591797,0.00028294944763183595,0.89833149,0.20061544940939563,0.9201286411275675,0.23277160349614698,0.9295331827659998,0.24822529492711295,0.896,0.9,0.8994,0.9,0.0,100,0,0.005,0.005,0.03,0.1,4995.1,0,,0.906,0.8986,True,0.9285090063898876,0.24646037988525124,999
cifar10_fquad_rand_cnn_seed3,2.0,cifar10,cnn,fquad,rand,3,50000,50000,0,50000,50000,1.0,0.5,True,f0beba2f3133ca15ab6c0d9d4439a237,0.025,0.005,0.005,0.99,2000,13.700597763061523,0.00027401195526123047,0.89823399,0.20069814343187384,0.9200414330504921,0.23285873698518061,0.9293883973627085,0.24820603642275912,0.8989,0.9,0.9033,0.9,0.0,100,0,0.005,0.005,0.03,0.1,5026.4,0,,0.8984,0.9017,True,0.9283550072167708,0.24642742185407548,999
cifar10_fquad_rand_cnn_seed4,2.0,cifar10,cnn,fquad,rand,4,50000,50000,0,50000,50000,1.0,0.5,True,f0beba2f3133ca15ab6c0d9d4439a237,0.025,0.005,0.005,0.99,2000,14.331881523132324,0.00028663763046264646,0.89927239,0.20091540061549037,0.920969879968346,0.23308764794709522,0.9303521162020495,0.248592749725807,0.8977,0.9,0.8984,0.9,0.0,100,0,0.005,0.005,0.03,0.1,4993.7,0,,0.8919,0.9011,True,0.9293368877825726,0.24683256104425738,999
fashion-mnist_bbb_learnt_fcn_seed0,2.0,fashion-mnist,fcn,bbb,learnt,0,60000,60000,30000,60000,30000,1.0,0.5,False,067078f63b371b03018ec2a5855a6b18,0.025,0.005,0.005,0.99,2000,21488.9921875,0.7162997395833334,0.06981611666666666,0.015835778991141428,0.09126344974628238,0.02750419264482379,0.661604753347242,0.5729891118082157,0.1111,0.1025,0.1001,0.11950000000000005,0.0,100,70,0.005,0.005,0.03,0.1,1062.3,0,0.023133,0.11040000000000005,0.09989999999999999,True,0.6615143668470729,0.5728858333274719,999
fashion-mnist_bbb_learnt_fcn_seed1,2.0,fashion-mnist,fcn,bbb,learnt,1,60000,60000,30000,60000,30000,1.0,0.5,False,3d124738b9d0dc4b394f2281158411d9,0.025,0.005,0.005,0.99,2000,21692.73046875,0.723091015625,0.07080971666666666,0.016216318703235182,0.09238176018295213,0.02799548148042924,0.6655535714626982,0.5768688815583798,0.1097,0.1,0.0996,0.1169,0.0,100,70,0.005,0.005,0.03,0.1,1085.3,0,0.021967,0.10770000000000002,0.09999999999999998,True,0.665464150303735,0.5767664845694304,999
